filename,channels,samples,sample_rate,duration_seconds,data_shape
G_S0242_M1_E2_R4_N1_raw_ref.mat,6,91800,200.0,459.0,"(6, 91800)"
G_S0242_M1_E2_R5_W_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0242_M1_E2_R6_N2_raw_ref.mat,6,197000,200.0,985.0,"(6, 197000)"
G_S0242_M1_E3_R1_N2_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0242_M1_E3_R3_W_raw_ref.mat,6,35000,200.0,175.0,"(6, 35000)"
G_S0242_M1_E3_R7_W_raw_ref.mat,6,81800,200.0,409.0,"(6, 81800)"
G_S0242_M1_E4_R2_N2_raw_ref.mat,6,138200,200.0,691.0,"(6, 138200)"
G_S0243_M3_E2_R2_N2_raw_ref.mat,6,169600,200.0,848.0,"(6, 169600)"
G_S0243_M3_E2_R3_N1_raw_ref.mat,6,63200,200.0,316.0,"(6, 63200)"
G_S0243_M3_E3_R1_N1_raw_ref.mat,6,34400,200.0,172.0,"(6, 34400)"
G_S0243_M3_E4_R4_N1_raw_ref.mat,6,175600,200.0,878.0,"(6, 175600)"
